#{"t_start": 1774834045.8859305, "env_id": "None"}
r,l,t
3.3,44,15.268909
3.2,43,15.272128
3.3,44,15.275208
3.2,43,15.278497
3.6,47,15.283302
3.2,43,15.286744
3.3,44,15.291083
3.1,42,15.293961
3.2,43,15.297274
3.2,43,15.300372
3.2,43,15.305547
3.4,45,15.310412
3.1,42,15.313935
3.2,43,15.317153
3.1,42,15.321839
4.3,54,15.328161
3.1,42,15.331383
3.2,43,15.334517
3.4,45,15.339142
3.7,48,15.34442
3.1,42,15.350157
3.3,44,15.355658
3.2,43,15.814511
3.3,44,15.81777
3.4,45,15.821255
3.4,45,15.824617
3.3,44,15.829712
3.3,44,15.832765
3.3,44,15.836158
3.3,44,15.839382
3.4,45,15.844247
3.4,45,15.848114
3.3,44,15.851436
3.4,45,15.854724
3.7,48,15.859867
3.2,43,15.864664
3.3,44,15.869506
4.2,53,15.874377
3.4,45,15.878708
3.2,43,15.882954
3.3,44,15.88751
3.3,44,15.891909
3.5,46,15.897287
3.2,43,15.900225
3.4,45,15.903569
3.5,46,15.90807
3.5,46,15.913813
3.1,42,15.918144
3.2,43,15.921312
3.3,44,15.924453
3.3,44,15.929425
3.2,43,15.933856
3.3,44,15.937054
3.2,43,15.940124
3.1,42,15.945191
3.1,42,15.949706
3.1,42,15.952847
3.5,46,15.956349
3.3,44,15.96335
3.4,45,15.968323
3.6,47,15.971822
3.3,44,15.974977
3.3,44,15.980373
3.2,43,15.985091
3.2,43,15.989854
3.6,47,15.995379
3.2,43,16.000351
3.2,43,16.005939
3.1,42,16.011307
3.2,43,16.016494
3.4,45,16.021995
3.3,44,16.026945
3.6,47,16.031736
3.3,44,16.035377
3.2,43,16.038815
3.2,43,16.041696
3.3,44,16.04496
3.6,47,16.049794
3.2,43,16.054636
3.3,44,16.057666
3.2,43,16.060952
3.2,43,16.064464
3.1,42,16.068489
3.5,46,16.071619
3.5,46,16.075053
3.2,43,16.078286
3.2,43,16.082642
3.3,44,16.08566
3.3,44,16.088919
3.2,43,16.092061
3.1,42,16.097154
3.1,42,16.09998
3.5,46,16.103545
3.4,45,16.106889
3.2,43,16.110781
3.1,42,16.113693
3.2,43,16.116861
3.2,43,16.12
3.1,42,16.124514
3.2,43,16.12746
3.2,43,16.130679
3.1,42,16.133703
3.2,43,16.138124
3.5,46,16.141239
3.2,43,16.144429
3.3,44,16.147576
3.2,43,16.153581
3.3,44,16.160554
3.4,45,16.16555
3.3,44,16.176876
3.3,44,16.186028
3.1,42,16.193666
3.2,43,16.204166
3.5,46,17.339562
3.1,42,17.358399
3.3,44,17.378128
3.2,43,17.399562
3.5,46,17.425517
3.1,42,17.447058
3.2,43,17.469361
